DayOfMonth,SWdown_2002-05,SWdown_2003-12
1,309.16458,129.8299
2,236.02536,129.66287
3,65.360435,50.453613
4,224.82556,52.643246
5,277.03522,77.31772
6,293.49905,122.37987
7,268.46002,127.32171
8,316.3073,119.05557
9,204.13649,88.16438
10,134.1955,33.771835
11,316.94308,130.221
12,243.81839,119.975174
13,189.94005,35.82543
14,342.76883,68.35423
15,344.02948,126.205734
16,324.72507,51.73069
17,200.00984,127.43647
18,349.6964,120.69892
19,351.7379,125.72751
20,313.61667,126.402885
21,345.80267,126.61075
22,351.41425,99.42787
23,347.7677,8.940798
24,318.91272,80.046326
25,255.64088,114.568115
26,245.86655,126.41292
27,264.4728,122.025696
28,252.834,112.255424
29,182.42448,3.172117
30,152.69606,129.7871
31,275.8349,131.45132
